contact_id,card_number,pin,CVV
d9361f06-3ec5-4bfa-8ce4-233d2acc9599,531870 1981004095,6254,915
200586c5-2d1a-4f0f-ad57-ae7245321270,3437 582455 87828,1866,241
72f07583-abad-4b4f-b46d-3e7b110157d6,3402 209623 68604,7257,282
2c6489db-848a-47d7-baef-2c57dbcda603,3411 077350 38649,7764,495
31a6a2b7-9df4-468d-993e-b6fcaf7f0ee6,374902343247784,4596,322
1782f637-8fe8-4e4b-a924-806ecccf93a0,532 87883 27406 454,3325,785
d8ffbbcd-1eae-45e5-a874-2f75e4136cfa,3772 059695 63568,2200,700
4673a705-6df0-4f7f-b789-fe2e589b65cb,341074325472358,3015,767
8eec39ed-65a3-4a8b-bd12-67de1a496191,542130 8061539331,5717,879
3df4d73a-1930-4c4c-bd26-a77daf1605ca,4929747140099322,2128,221
c4f49129-e723-48b9-97cb-f064502ff18b,3405 193073 10407,6662,492
4ab77c75-e0b1-42b3-9ff6-1c445d9ed456,455 63037 55411 871,6731,269
8242f1b0-637c-4d00-8a70-3a4e5e933e4f,552 98084 78250 712,7316,202
fb98548a-6750-4a83-8734-f11d16309cc7,4485 653 54 7272,7184,869
cf3d8f5e-fc8c-437f-8efe-f0ad7ba29574,4716008170612,5751,477
1bc5dadd-b3d1-4cfd-94d4-89e94fa9b87e,550545 300180 3634,2858,572
c6f3e7e7-2be5-4fca-b841-fffe4e566ef7,511 41487 99775 225,8983,671
403b27e7-2507-470e-bc16-69dc129cfe91,4556 364 88 8898,5025,923
e4300b5f-bc3b-4314-bae7-5bff8f3b6bce,376847734068471,2792,258
fb6935b4-838d-4388-9311-c37de1a734a9,5472782333064708,3228,147
f4bc5c5e-1461-493e-a689-aa65e7f84fc9,4532829046844,3288,396
71828e58-9f04-45b4-924c-8f6295d1d505,3428 193241 82500,1799,830
e52c547f-969e-4c72-990d-15bf480560f1,3745 280264 97865,4973,281
6cc456e4-8bbf-428a-8278-569a2e611c2d,342482837283214,9061,883
a1da3e64-58e9-4c70-8bbd-9dfc8128b75b,551363 133108 7933,4012,141
fcb96274-20bd-49d1-9260-bce2d616bfa0,341668561367840,4676,369
0f7b3e7f-1d82-4d18-9fec-c939877cb5d3,340030130236488,3418,733
351a42dc-c4e3-4ac6-a621-9e1d2e1f41d2,3481 558320 87913,5878,830
1a0c6937-2de5-4bf7-98e7-fb4e68cde6e0,4024007116286021,1659,522
fa101e0b-d31d-4bfd-8044-c0059d4a2db5,346830636926985,1784,247
4be1596c-a67d-4bab-b2c1-7053cf1af48e,520948 2037927264,2977,671
8876026a-02e5-4a99-84a7-bfde07b6a26f,3414 768632 51500,9766,350
19f8a04a-a391-403a-aa31-e0e3f8c729e0,370722965555122,7324,506
10874525-6d2f-47d5-bffc-154b46d1e09a,5574340013415240,3793,507
c1eea02c-def2-4292-9b5b-2436ce7a1be7,370148819823500,7055,953
fd51fdb2-82c9-4bbd-945e-536c6f4b12a8,4716591275790678,4424,390
586e615b-f49e-4efe-901a-9bb2734c9830,453 98166 65791 084,9632,417
cef4e500-bde0-4f48-9043-04125e2994ba,535829 141278 4540,2291,655
a36ea4e4-5f4c-43e8-b1f4-74508f74f095,5311 8664 6589 3334,8860,846
7cbfc312-916c-4b32-8b1b-72b454eebd57,378741874430336,5981,848
79772787-4ac6-44d3-93b7-1df092ae607d,4916894895559,3215,684
30ed0639-db61-489a-b012-3db10287fedf,516017 7217087734,7713,845
9df72960-6b2d-48d9-91b5-bcefec861b8c,5155650718319647,7523,585
0ada82ea-3312-4835-8308-85e39e9bea5f,4929651904837,8232,627
6a1a2726-af3d-46a9-b6e6-bf59c825759d,3763 055523 84835,5598,713
d8a255c4-d885-42bb-8c87-8c346e2ef3e0,3448 354308 91659,6048,715
e2e06590-30b3-463b-9202-cb54a83aaa30,552932 230665 7544,3924,249
aa0300d7-94b7-457c-af4b-953bd8c4ed68,4486661612272,3791,668
40479913-7e03-4e74-bdf9-0690e1b9fbfd,4126 3714 8232 3728,6318,156
46b529db-9c4d-4ca7-a31b-bb3e3899def0,345992752191215,4995,428
692ada47-7949-458c-99e5-b10735a927a8,511125 0645594785,1645,995
5144f099-24f9-4803-8371-478e1432e413,530781 783339 7595,1372,309
c76c1f62-dd18-415c-915e-cec97c47a9ba,4916415800435,1418,164
9052300e-7d9f-4386-a876-3468af988e35,4556658261521,1603,381
f1e64fac-38d5-4f64-be6e-41f58f0a6a29,558 63083 49016 541,5864,726
f9ea9f1b-7d55-465a-8250-eb128133fd76,370826436954366,5731,123
daa0754d-828f-4c27-8716-5670b3f09c3e,4024 007 15 3857,9240,949
52e143da-6902-4022-bebb-5780155e3091,3413 845234 80321,9417,779
b2a3794d-0fc6-4445-a319-cbb550eb8fd1,559084 0153211036,1683,923
8cb77c37-67a3-4d5e-a074-21e0f6a0714d,3746 573634 79051,8640,196
9e84de98-740e-4136-adff-86d53c7b0e0a,376302844083374,4316,585
64afc671-c4ab-4be2-9f97-7373f27ae725,379456829585113,5257,470
38515142-00a3-48fe-9888-a2fbbd0ad975,4716 301 16 3520,6452,391
f80fff03-54d4-46fc-803f-d3172ab3205f,3732 603395 00398,5316,687
40d76ad5-ab1a-4d20-8a30-38d921989198,453998 979895 2897,7727,275
b1d5de7d-0c89-476c-b0fa-f9e03b82b7d0,5366593617685756,8544,709
c22d3bad-4beb-414c-b932-167a10e47226,4532929015715,6399,824
8a8d8953-5ac3-4b6a-8569-4d4459ed74d3,3788 878042 16210,6243,166
9c8ae162-fac0-47e5-b48d-f7c97f6d7f8c,3737 564235 02919,2635,661
a80bcd2c-bb36-4bbf-8380-91cf95ecba64,5389 1917 0264 8913,7577,426
520cbf8b-3d2b-425a-b3cc-b794e4ec9293,4485636513689932,8720,971
727f2e10-0021-45c0-80ff-606d2672f15c,4929 174 66 3175,3092,926
8f2cac9f-1da1-4285-8cae-e29422dd319f,4539626318060,7120,574
af717e23-00c6-4ec9-86d7-deceec3e1f3a,3499 085363 46681,5153,267
6d806fa4-321d-4d02-95d4-65e8ac17186e,531163 8051223444,6863,618
bae1522a-8c4a-427b-b825-5d547f761624,4485084170645,9791,328
edb8e29d-4cf4-4007-8dde-347998683e77,3490 409998 92264,2330,463
b1529c22-6910-4735-9203-b3dc677bd2a6,5390 6906 9852 4639,3989,529
31f25383-4bf8-4c39-a152-8418b14d3510,374211967597023,4284,126
d8e0b84c-0504-4d2e-b586-1095bba2c3a1,375241228539380,9991,612
9d89fcbf-5908-4371-9dd5-ff053b4ed6a7,4916 428 98 9647,2410,951
9f6e0e69-30ab-4f41-90ee-7bb5ba6ed39d,4556742818211,2604,710
d88160a5-b5fb-4b00-b5f9-800ca69163c6,492936 186981 2475,5330,196
e2eb3731-0c42-4188-aeb4-4f6f0f84e64c,3493 908063 10285,6357,132
dd4f1f45-fd66-44ff-9771-9cdde016af06,3735 024867 99921,5836,376
c6727bb8-6ba3-4c50-8c42-0f5902427265,379135395232561,9273,160
2003909e-2918-45b4-b6ed-860e2ebb0196,4159571792290,8031,959
2905e8b9-b768-4ec4-83db-f029eff5119d,5567 0648 4359 6552,7596,188
3fe4e9dc-d356-48be-b921-93eedea91175,3402 896461 18214,7549,291
e78cab8c-a44a-4f0d-895a-98dc8c5feb57,513973 7853919017,7276,168
5198446b-ad85-4ac3-aa5a-6f93edb3880b,3706 323812 52057,6723,719
c72f579b-f623-4c75-b5a3-b935c1918ada,539 71893 94014 246,3268,589
fadf6015-11bb-4088-9847-2dd2303b0193,4556094402903,9875,813
6647fe21-d48b-44dc-aa87-99a513c22867,529 86848 39632 669,3482,281
963771d9-4cef-4a9b-9920-3b469522f8a8,3712 401112 84025,8111,678
0dae2baa-3ae4-497f-bb62-39083e7656ea,4532 8995 2656 3733,9549,526
